license_guid,license_term,license_description,license_link,license_version
0039,CC BY-SA 2.0 AT,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 2.0 (Österreich)',https://creativecommons.org/licenses/by-sa/2.0/at/,2.0
0040,CC BY-SA 2.0 AU,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 2.0 (Australien)',https://creativecommons.org/licenses/by-sa/2.0/au/,2.0
0041,CC BY-SA 2.0 BR,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 2.0 (Brasilien)',https://creativecommons.org/licenses/by-sa/2.0/br/,2.0
0042,CC BY-SA 2.0 CA,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 2.0 (Kanada)',https://creativecommons.org/licenses/by-sa/2.0/ca/,2.0
0043,CC BY-SA 2.0 CH,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 2.0 (Schweiz)',https://creativecommons.org/licenses/by-sa/2.0/ch/,2.0
0044,CC BY-SA 2.0 DE,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 2.0 (Deutschland)',https://creativecommons.org/licenses/by-sa/2.0/de/,2.0
0045,CC BY-SA 2.0 ES,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 2.0 (Spanien)',https://creativecommons.org/licenses/by-sa/2.0/es/,2.0
0046,CC BY-SA 2.0 IT,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 2.0 (Italien)',https://creativecommons.org/licenses/by-sa/2.0/it/,2.0
0047,CC BY-SA 2.0 KR,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 2.0 (Korea)',https://creativecommons.org/licenses/by-sa/2.0/kr/,2.0
0048,CC BY-SA 2.0 TW,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 2.0 (Taiwan)',https://creativecommons.org/licenses/by-sa/2.0/tw/,2.0
0049,CC BY-SA 2.0 UK,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 2.0 (England und Wales)',https://creativecommons.org/licenses/by-sa/2.0/uk/,2.0
0050,CC BY-SA 1.0,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 1.0',https://creativecommons.org/licenses/by-sa/1.0/,1.0
0051,GNU FDL 1.3,GNU-Lizenz für freie Dokumentation 1.3,https://www.gnu.org/licenses/fdl-1.3.html,1.3
0052,GNU FDL 1.2,GNU-Lizenz für freie Dokumentation 1.2,https://www.gnu.org/licenses/fdl-1.3.html,1.2
0053,GNU FDL 1.1,GNU-Lizenz für freie Dokumentation 1.1,https://www.gnu.org/licenses/old-licenses/fdl-1.1.html,1.1
0054,LAL 1.3,Lizenz Freie Kunst 1.3 (LAL/FAL),http://artlibre.org/licence/lal/de1-3/,1.3
0055,LAL 1.1,Lizenz Freie Kunst 1.1 (LAL/FAL),http://artlibre.org/licence/lal/de/,1.1
0056,Dreamstime RF,Dreamstime – Royalty-Free-Lizenz (RF),https://www.dreamstime.com/about-stock-image-licenses,
0057,Dreamstime RF/Editorial,Dreamstime – Royalty-Free-Lizenz für redaktionelle Bilder,https://www.dreamstime.com/about-stock-image-licenses,
